state,year,value
Assam,2020-21,319395.0
Bihar,2020-21,257331.0
Chandigarh,2020-21,13476.0
Chhattisgarh,2020-21,172832.0
Dadra & Nagar Haveli,2020-21,279447.0
Daman & Diu,2020-21,
Andaman & Nicobar Islands,2021-22,-2.0
Andhra Pradesh,2021-22,2612421.0
Arunachal Pradesh,2021-22,17883.0
Assam,2021-22,603190.0
Bihar,2021-22,436353.0
Chandigarh,2021-22,6303.0
Chhattisgarh,2021-22,898296.0
Dadra & Nagar Haveli,2021-22,410117.0
Daman & Diu,2021-22,
Andaman & Nicobar Islands,2022-23,60.0
Andhra Pradesh,2022-23,2699581.0
Arunachal Pradesh,2022-23,9371.0
Assam,2022-23,925696.0
Bihar,2022-23,1243343.0
Chandigarh,2022-23,10441.0
Chhattisgarh,2022-23,1131527.0
Dadra & Nagar Haveli,2022-23,591878.0
Daman & Diu,2022-23,
Andaman & Nicobar Islands,2023-24,72.0
Andhra Pradesh,2023-24,3360432.0
Arunachal Pradesh,2023-24,6193.0
Assam,2023-24,1215066.0
Bihar,2023-24,535736.0
Chandigarh,2023-24,19785.0
Chhattisgarh,2023-24,1474785.0
Dadra & Nagar Haveli,2023-24,696009.0
Daman & Diu,2023-24,
Delhi,2004-05,53788.0
Goa,2004-05,43807.0
Gujarat,2004-05,858338.0
Haryana,2004-05,366041.0
Himachal Pradesh,2004-05,60308.0
Jammu & Kashmir,2004-05,26515.0
Jharkhand,2004-05,233201.0
Karnataka,2004-05,607425.0
Delhi,2005-06,59384.0
Goa,2005-06,69177.0
Gujarat,2005-06,2548282.0
Haryana,2005-06,431504.0
Himachal Pradesh,2005-06,174099.0
Jammu & Kashmir,2005-06,33518.0
Jharkhand,2005-06,400131.0
Karnataka,2005-06,1150745.0
Delhi,2006-07,66507.0
Goa,2006-07,61665.0
Gujarat,2006-07,1970990.0
Haryana,2006-07,525174.0
Himachal Pradesh,2006-07,121024.0
Jammu & Kashmir,2006-07,63271.0
Jharkhand,2006-07,356053.0
Karnataka,2006-07,1027577.0
Delhi,2007-08,64682.0
Goa,2007-08,90385.0
Gujarat,2007-08,2328118.0
Haryana,2007-08,733673.0
Himachal Pradesh,2007-08,367642.0
Jammu & Kashmir,2007-08,80668.0
Jharkhand,2007-08,413701.0
Karnataka,2007-08,1321436.0
Delhi,2008-09,60340.0
Goa,2008-09,107506.0
Gujarat,2008-09,3135104.0
Haryana,2008-09,866919.0
Himachal Pradesh,2008-09,179940.0
Jammu & Kashmir,2008-09,51311.0
Jharkhand,2008-09,910910.0
Karnataka,2008-09,2320302.0
Delhi,2009-10,84960.0
Goa,2009-10,109065.0
Gujarat,2009-10,3858020.0
Haryana,2009-10,817828.0
Himachal Pradesh,2009-10,258850.0
Jammu & Kashmir,2009-10,80928.0
Jharkhand,2009-10,818668.0
Karnataka,2009-10,2669368.0
Delhi,2010-11,89791.0
Goa,2010-11,128039.0
Gujarat,2010-11,4482300.0
Haryana,2010-11,1031608.0
Himachal Pradesh,2010-11,528346.0
Jammu & Kashmir,2010-11,50576.0
Jharkhand,2010-11,1548595.0
Karnataka,2010-11,2600209.0
Delhi,2011-12,162781.0
Goa,2011-12,174610.0
Gujarat,2011-12,5209375.0
Haryana,2011-12,1033740.0
Himachal Pradesh,2011-12,666657.0
Jammu & Kashmir,2011-12,70495.0
Jharkhand,2011-12,1837512.0
Karnataka,2011-12,3133526.0
Delhi,2012-13,134501.0
Goa,2012-13,196116.0
Gujarat,2012-13,5347358.0
Haryana,2012-13,2521418.0
Himachal Pradesh,2012-13,427004.0
Jammu & Kashmir,2012-13,55207.0
Jharkhand,2012-13,989424.0
Karnataka,2012-13,2785952.0
Delhi,2013-14,90408.0
Goa,2013-14,91995.0
Gujarat,2013-14,7421402.0
Haryana,2013-14,1121834.0
Himachal Pradesh,2013-14,281570.0
Jammu & Kashmir,2013-14,34729.0
Jharkhand,2013-14,867950.0
Karnataka,2013-14,2147479.0
Delhi,2014-15,96512.0
Goa,2014-15,140714.0
Gujarat,2014-15,9964916.0
Haryana,2014-15,1392938.0
Himachal Pradesh,2014-15,195430.0
Jammu & Kashmir,2014-15,55450.0
Jharkhand,2014-15,501836.0
Karnataka,2014-15,2005780.0
Delhi,2015-16,110818.0
Goa,2015-16,164869.0
Gujarat,2015-16,8440358.0
Haryana,2015-16,1163554.0
Himachal Pradesh,2015-16,113071.0
Jammu & Kashmir,2015-16,50576.0
Jharkhand,2015-16,1270086.0
Karnataka,2015-16,2256594.0
Delhi,2016-17,122758.0
Goa,2016-17,166036.0
Gujarat,2016-17,9308444.0
Haryana,2016-17,1580198.0
Himachal Pradesh,2016-17,268640.0
