state,year,value
Chhattisgarh,2020-21,4143.0
Dadra & Nagar Haveli,2020-21,2995.0
Daman & Diu,2020-21,
Andaman & Nicobar Islands,2021-22,13.0
Andhra Pradesh,2021-22,16925.0
Arunachal Pradesh,2021-22,211.0
Assam,2021-22,5480.0
Bihar,2021-22,3289.0
Chandigarh,2021-22,241.0
Chhattisgarh,2021-22,4397.0
Dadra & Nagar Haveli,2021-22,2891.0
Daman & Diu,2021-22,
Andaman & Nicobar Islands,2022-23,14.0
Andhra Pradesh,2022-23,16483.0
Arunachal Pradesh,2022-23,198.0
Assam,2022-23,5712.0
Bihar,2022-23,3307.0
Chandigarh,2022-23,229.0
Chhattisgarh,2022-23,4717.0
Dadra & Nagar Haveli,2022-23,2783.0
Daman & Diu,2022-23,
Andaman & Nicobar Islands,2023-24,13.0
Andhra Pradesh,2023-24,16011.0
Arunachal Pradesh,2023-24,199.0
Assam,2023-24,6049.0
Bihar,2023-24,3386.0
Chandigarh,2023-24,224.0
Chhattisgarh,2023-24,5210.0
Dadra & Nagar Haveli,2023-24,2670.0
Daman & Diu,2023-24,
Delhi,2004-05,3156.0
Goa,2004-05,518.0
Gujarat,2004-05,13603.0
Haryana,2004-05,4339.0
Himachal Pradesh,2004-05,653.0
Jammu & Kashmir,2004-05,424.0
Jharkhand,2004-05,1607.0
Karnataka,2004-05,7596.0
Delhi,2005-06,3312.0
Goa,2005-06,543.0
Gujarat,2005-06,14055.0
Haryana,2005-06,4304.0
Himachal Pradesh,2005-06,808.0
Jammu & Kashmir,2005-06,519.0
Jharkhand,2005-06,1590.0
Karnataka,2005-06,7835.0
Delhi,2006-07,3268.0
Goa,2006-07,514.0
Gujarat,2006-07,14327.0
Haryana,2006-07,4410.0
Himachal Pradesh,2006-07,851.0
Jammu & Kashmir,2006-07,618.0
Jharkhand,2006-07,1598.0
Karnataka,2006-07,7827.0
Delhi,2007-08,3198.0
Goa,2007-08,522.0
Gujarat,2007-08,15107.0
Haryana,2007-08,4707.0
Himachal Pradesh,2007-08,1160.0
Jammu & Kashmir,2007-08,672.0
Jharkhand,2007-08,1615.0
Karnataka,2007-08,8443.0
Delhi,2008-09,3026.0
Goa,2008-09,519.0
Gujarat,2008-09,14863.0
Haryana,2008-09,4450.0
Himachal Pradesh,2008-09,1294.0
Jammu & Kashmir,2008-09,649.0
Jharkhand,2008-09,1846.0
Karnataka,2008-09,8451.0
Delhi,2009-10,2878.0
Goa,2009-10,520.0
Gujarat,2009-10,15576.0
Haryana,2009-10,4640.0
Himachal Pradesh,2009-10,1545.0
Jammu & Kashmir,2009-10,626.0
Jharkhand,2009-10,2032.0
Karnataka,2009-10,8541.0
Delhi,2010-11,3920.0
Goa,2010-11,583.0
Gujarat,2010-11,21282.0
Haryana,2010-11,5967.0
Himachal Pradesh,2010-11,2210.0
Jammu & Kashmir,2010-11,795.0
Jharkhand,2010-11,2504.0
Karnataka,2010-11,10722.0
Delhi,2011-12,3849.0
Goa,2011-12,586.0
Gujarat,2011-12,22220.0
Haryana,2011-12,6142.0
Himachal Pradesh,2011-12,2489.0
Jammu & Kashmir,2011-12,861.0
Jharkhand,2011-12,2556.0
Karnataka,2011-12,11460.0
Delhi,2012-13,3958.0
Goa,2012-13,597.0
Gujarat,2012-13,22587.0
Haryana,2012-13,6163.0
Himachal Pradesh,2012-13,2654.0
Jammu & Kashmir,2012-13,955.0
Jharkhand,2012-13,2697.0
Karnataka,2012-13,11753.0
Delhi,2013-14,3918.0
Goa,2013-14,618.0
Gujarat,2013-14,22876.0
Haryana,2013-14,6117.0
Himachal Pradesh,2013-14,2806.0
Jammu & Kashmir,2013-14,943.0
Jharkhand,2013-14,2688.0
Karnataka,2013-14,12107.0
Delhi,2014-15,3868.0
Goa,2014-15,635.0
Gujarat,2014-15,23433.0
Haryana,2014-15,8243.0
Himachal Pradesh,2014-15,2784.0
Jammu & Kashmir,2014-15,965.0
Jharkhand,2014-15,2738.0
Karnataka,2014-15,12566.0
Delhi,2015-16,3776.0
Goa,2015-16,654.0
Gujarat,2015-16,24426.0
Haryana,2015-16,7953.0
Himachal Pradesh,2015-16,2767.0
Jammu & Kashmir,2015-16,945.0
Jharkhand,2015-16,2831.0
Karnataka,2015-16,12973.0
Delhi,2016-17,3507.0
Goa,2016-17,647.0
Gujarat,2016-17,25966.0
Haryana,2016-17,8503.0
Himachal Pradesh,2016-17,2721.0
Jammu & Kashmir,2016-17,1016.0
Jharkhand,2016-17,2858.0
Karnataka,2016-17,13344.0
Delhi,2017-18,3432.0
Goa,2017-18,715.0
Gujarat,2017-18,26586.0
Haryana,2017-18,8891.0
Himachal Pradesh,2017-18,2671.0
Jammu & Kashmir,2017-18,1019.0
Jharkhand,2017-18,2866.0
Karnataka,2017-18,13518.0
Delhi,2018-19,3376.0
Goa,2018-19,708.0
Gujarat,2018-19,26842.0
Haryana,2018-19,11835.0
Himachal Pradesh,2018-19,2691.0
Jammu & Kashmir,2018-19,1000.0
Jharkhand,2018-19,2857.0
Karnataka,2018-19,13789.0
Delhi,2019-20,3259.0
Goa,2019-20,711.0
Gujarat,2019-20,28479.0
Haryana,2019-20,11252.0
Himachal Pradesh,2019-20,2687.0
Jammu & Kashmir,2019-20,1022.0
Jharkhand,2019-20,2875.0
Karnataka,2019-20,14169.0
Delhi,2020-21,3174.0
Goa,2020-21,720.0
Gujarat,2020-21,29497.0
Haryana,2020-21,11638.0
Himachal Pradesh,2020-21,2677.0
Jammu & Kashmir,2020-21,1009.0
Jharkhand,2020-21,2862.0
Karnataka,2020-21,14235.0
Delhi,2021-22,3007.0
Goa,2021-22,695.0
Gujarat,2021-22,29766.0
Haryana,2021-22,11294.0
Himachal Pradesh,2021-22,2665.0
Jammu & Kashmir,2021-22,1009.0
Jharkhand,2021-22,2879.0
Karnataka,2021-22,14302.0
Delhi,2022-23,3063.0
Goa,2022-23,694.0
Gujarat,2022-23,31031.0
Haryana,2022-23,10603.0
Himachal Pradesh,2022-23,2632.0
Jammu & Kashmir,2022-23,1015.0
Jharkhand,2022-23,2897.0
Karnataka,2022-23,14510.0
Delhi,2023-24,2773.0
Goa,2023-24,688.0
Gujarat,2023-24,33311.0
Haryana,2023-24,10389.0
Himachal Pradesh,2023-24,2650.0
Jammu & Kashmir,2023-24,999.0
Jharkhand,2023-24,2889.0
Karnataka,2023-24,14984.0
Kerala,2004-05,5493.0
Ladakh,2004-05,
Madhya Pradesh,2004-05,3028.0
Maharashtra,2004-05,18912.0
Manipur,2004-05,55.0
Meghalaya,2004-05,58.0
Mizoram,2004-05,
Nagaland,2004-05,113.0
Odisha,2004-05,1749.0
Puducherry,2004-05,619.0
Punjab,2004-05,7575.0
Kerala,2005-06,5643.0
Ladakh,2005-06,
Madhya Pradesh,2005-06,2951.0
Maharashtra,2005-06,18711.0
Manipur,2005-06,59.0
Meghalaya,2005-06,66.0
Mizoram,2005-06,
Nagaland,2005-06,109.0
Odisha,2005-06,1862.0
Puducherry,2005-06,637.0
Punjab,2005-06,8332.0
Kerala,2006-07,5554.0
Ladakh,2006-07,
Madhya Pradesh,2006-07,3069.0
Maharashtra,2006-07,18612.0
Manipur,2006-07,63.0
Meghalaya,2006-07,76.0
Mizoram,2006-07,
Nagaland,2006-07,106.0
Odisha,2006-07,1906.0
Puducherry,2006-07,731.0
Punjab,2006-07,9256.0
Kerala,2007-08,5584.0
Ladakh,2007-08,
Madhya Pradesh,2007-08,3165.0
Maharashtra,2007-08,18304.0
Manipur,2007-08,69.0
Meghalaya,2007-08,90.0
Mizoram,2007-08,
Nagaland,2007-08,104.0
Odisha,2007-08,1822.0
Puducherry,2007-08,703.0
Punjab,2007-08,10178.0
Kerala,2008-09,5868.0
Ladakh,2008-09,
Madhya Pradesh,2008-09,3345.0
Maharashtra,2008-09,20450.0
Manipur,2008-09,72.0
Meghalaya,2008-09,95.0
