state,ger,life_expectancy,unemployment_rate,cd_ratio,per_capita_power,td_losses,road_density,factory_density,msme_density,manufacturing_share,investment_rate
Goa,-0.4046401515151515,,0.3669458762886599,0.2721191150256894,-0.15002498261315497,-0.33774373259052926,-0.14358428999588424,-0.4744109780931682,-0.3323372225516391,-0.6338160716585624,-0.3760337878260413
Tamil Nadu,-0.2265151515151516,-0.19206773618538264,-0.1433634020618556,-0.3638670441438608,-0.028780716759513575,-0.10933147632311968,0.11312834090376107,-0.6452736774138783,-0.2999332490913883,-0.1452889073033808,-0.14971482673830389
Gujarat,0.21723484848484853,0.12165775401069456,-0.3753221649484536,-0.14172171542413764,-0.05737241743882987,-0.12047353760445678,0.10989989398513117,-0.5354256910224071,-0.05459619088640022,-0.6257144687663005,-0.6186932380920878
Puducherry,-0.3437026515151516,,-0.08150773195876282,-0.046219985320331336,-0.058117066154310865,-0.12883008356545966,0.11727313198060997,-0.5327696883047865,-0.1235742235278483,-0.2629747745050864,-0.3038694296185089
Telangana,-0.13589015151515144,0.013814616755793208,0.04220360824742275,-0.3638670441438608,-0.07194224230588206,-0.19568245125348194,0.10815154807824408,-0.3048035848564907,-0.5492190344660662,0.11778541449227528,0.042363169289203084
Andhra Pradesh,-0.056202651515151525,0.013814616755793208,-0.035115979381443285,-0.6178462828981861,-0.014021217219650273,-0.13997214484679665,0.11884487056066358,-0.1995007419764802,-0.21045128193473062,0.08047358756978601,-0.05448389973287848
Punjab,-0.17339015151515152,-0.06461675579322612,0.05251288659793818,0.04582153717101817,-0.08580254339686266,-0.13997214484679665,0.08130592649752577,-0.41438362492461295,-0.11521286980173517,-0.09523925856928239,-0.1966070145627274
Maharashtra,-0.11245265151515144,-0.2116755793226378,-0.13305412371134018,-0.12303659431687114,-0.021228854786475473,-0.123259052924791,0.07440985331473958,-0.01598197089304526,-0.29652949170275067,-0.06125345356969103,-0.07121165006404268
Himachal Pradesh,-0.29214015151515144,-0.12344028520499162,0.2071520618556702,0.19876271364160636,-0.036585478296299975,-0.13997214484679665,-0.055095653194194905,-0.3082531990484713,0.14043981198999145,-0.39073422615347647,-0.12317933483251597
Haryana,-0.09526515151515152,0.22950089126559736,-0.14851804123711343,-0.05729264968019293,-0.07105709383276318,-0.011838440111420656,0.16640121838696798,-0.28822546172663893,-0.12065323886544954,-0.15235798791925853,-0.2773079798318557
Uttarakhand,-0.19057765151515144,0.11185383244206776,-0.01449742268041232,0.16900492817447835,-0.009918624296623074,-0.022980501392757757,0.05468479447146268,-0.09537391819827173,0.019781317539304455,-0.368098011548393,-0.16302856759204298
Karnataka,-0.09995265151515148,0.11185383244206776,-0.20006443298969068,-0.032379154870504356,-0.005289157282453674,-0.08147632311977715,0.05529077558816636,-0.03872228531427874,-0.21371483573623729,0.0061660728293028155,0.0557904503829475
Delhi,-0.26245265151515157,-0.42736185383244196,-0.1021262886597939,-0.13964559085666345,-0.03343828372521057,-0.21239554317548748,0.19498323574295567,0.14503742436358724,-0.14517133422923423,0.264219832115488,0.2758839599010581
Odisha,0.04067234848484852,-0.05481283422459926,-0.02996134020618557,0.11710181398762715,0.02540301477354953,0.05779944289693595,0.02187570348955517,0.26555251656671963,0.06235783754720964,-0.14005181919677206,-0.6884541088505884
Kerala,-0.29995265151515144,-0.29991087344028544,0.22261597938144329,-0.01992240746566004,0.02822003491418973,-0.15947075208913652,0.0023077919163657645,-0.016208385457083863,0.06904472390297417,0.1371640258113085,0.2123069384091203
Sikkim,0.22973484848484843,,-0.24645618556701032,0.16692880360700435,0.03244907761909113,0.23607242339832885,-0.3197738001735491,0.15312724571261174,0.05663403552763818,-0.6164082115847824,0.22261230622644912
West Bengal,-0.004640151515151569,-0.20187165775401095,-0.22583762886597936,0.09426444374541265,0.03990258976178263,-0.028551532033426197,0.13336917889493938,0.20276976558063675,0.04298573624278407,-0.0031486184674788253,0.1019650221088775
Rajasthan,0.01098484848484843,0.15106951871657803,0.047358247422680466,-0.18186012372863586,-0.007326403768203565,0.029944289693593307,0.12106321726446047,0.13716654258085015,0.02872101281604278,0.05676174132311229,-0.04843320733107598
Chandigarh,-0.5280776515151515,,0.21746134020618557,-0.048988151410296776,-0.02014700665266357,-0.08983286908077992,0.15656761239917066,0.040401894879510736,-0.11195779822836749,0.2987134882839424,0.2757231310080396
Assam,0.20942234848484853,0.16087344028520495,0.047358247422680466,0.013295585613924743,0.06503799640320623,-0.04526462395543174,-0.16111393743014085,0.06594470339735187,0.19207751666700168,0.0594560288172018,-0.03337865016692387
Jharkhand,0.22348484848484854,-0.08422459893048129,-0.18975515463917525,0.18561392471427074,0.06346439911766154,0.10515320334261835,0.15583041033562287,0.26050371117549176,0.22237097903205966,-0.20406975706604763,-0.06820616712499311
Chhattisgarh,0.14535984848484862,0.572638146167558,-0.045425257731958824,-0.10573555625458736,-0.009314475338780062,0.08286908077994437,0.10829999340596358,0.05907026791976033,0.156198580845004,-0.06511159702880182,-0.12211401003773997
Mizoram,0.01879734848484843,,-0.272229381443299,0.11156548180769638,0.050159072069350635,-0.014623955431754876,-0.25422309041050045,0.07521324701302057,0.18776058020023928,0.3661839283414376,0.3115458911494115
Madhya Pradesh,0.28442234848484843,0.32754010695187186,-0.3443943298969072,-0.09535493341721712,0.0064214975166668326,0.08844011142061281,0.09112014409227648,0.28947866882747475,0.016282600845262674,0.15346583247458778,0.0559109638545105
Tripura,0.11254734848484843,,-0.2773840206185568,0.15585613924714264,0.05748613443016813,0.26671309192200565,-0.037669650274251926,0.06591861089079015,-0.24814843631945704,0.3020944966609036,0.29287846973765963
Jammu & Kashmir,0.30785984848484843,-0.4175579322638152,0.3308634020618557,0.05066582782845758,-0.013922867389303775,,-0.04363841183101422,0.2603546441571947,-0.060544118082332066,0.1994736008253041,0.2367804405738178
Uttar Pradesh,0.21879734848484855,0.30793226381461664,-0.05573453608247425,0.09634056831288668,0.04143403712003593,0.04665738161559885,0.16123292915036508,0.21864525697071815,0.26441157033418466,0.06033435713550139,0.017539466151581418
Manipur,0.09692234848484843,,0.15560567010309279,-0.08151410296739015,0.06695581809496373,0.06058495821727017,-0.08669513484496705,0.25430877690440085,0.02229436896808268,0.3333196625592012,0.3019756393731104
Andaman & Nicobar Islands,-0.22182765151515144,,,0.10672119115025686,,0.16643454038997224,0.07846464955269318,0.34370675626489167,0.01961824023007397,0.3618789892406367,0.30818454733930223
Bihar,0.47192234848484843,-0.045008912655970956,-0.004188144329896892,0.09980077592534337,0.06590206991267943,0.18314763231197784,0.14862615354758857,0.35472632258612175,0.29762360305776087,0.15042785731252628,0.03756489725126311
Meghalaya,0.19379734848484853,,0.4700386597938145,0.18838209080423615,0.047440401759056935,0.08008356545961015,-0.17597063990381712,0.29381164678115096,0.45078096553393376,0.1329020321631218,-0.021435774101098704
Nagaland,0.38129734848484853,,0.3617912371134021,0.09980077592534337,0.060752753795249734,0.03551532033426186,-0.29035000124386484,0.23279236092499525,0.3015062701339728,0.3537525657731415,0.3053432807262301
Arunachal Pradesh,0.28442234848484843,,0.403028350515464,0.24720562021600084,0.043260533969328926,0.6622562674094707,-0.8050167642570443,0.15080284373233374,0.3311535740101171,0.3296936496085355,0.2617830730208448
