state,ger,life_expectancy,unemployment_rate,cd_ratio,per_capita_power,td_losses,road_density,factory_density,msme_density,manufacturing_share,investment_rate
Goa,-0.2569010416666666,,0.3913230240549829,0.3480392156862745,-0.10173763075258696,-0.22005571030640658,-0.20752556820243273,-0.17867347643554055,-0.17567656957234723,-0.41071024023121716,-0.12768206545500882
Tamil Nadu,-0.07877604166666674,-0.1764705882352936,-0.11898625429553256,-0.2879469434832757,0.019506635101054437,0.008356545961002992,0.04918706269721258,-0.3495361757562506,-0.14327259611209642,0.07781692412396446,0.0986368956327286
Gujarat,0.3649739583333334,0.1372549019607836,-0.35094501718213056,-0.06580161476355256,-0.009085065578261858,-0.0027855153203341088,0.04595861577858268,-0.23968818936477954,0.10206446209289166,-0.40260863733895536,-0.3703415157210552
Puducherry,-0.19596354166666674,,-0.05713058419243977,0.02970011534025374,-0.009829714293742853,-0.01114206128133699,0.05333185377406148,-0.23703218664715897,0.03308642945144358,-0.03986894307774114,-0.0555177072474764
Telangana,0.011848958333333437,0.02941176470588225,0.0665807560137458,-0.2879469434832757,-0.023654890445314047,-0.07799442896935926,0.04421026987169559,-0.00906608319886304,-0.39255838148677435,0.3408912459196205,0.29071489166023556
Andhra Pradesh,0.09153645833333335,0.02941176470588225,-0.010738831615120237,-0.5419261822376009,0.03426613464091774,-0.02228412256267398,0.054903592354115086,0.09623675968114742,-0.053790628955438735,0.30357941899713126,0.193867822638154
Punjab,-0.025651041666666652,-0.04901960784313708,0.07689003436426123,0.12174163783160324,-0.03751519153629465,-0.02228412256267398,0.01736464829097728,-0.11864612326698531,0.04144778317755671,0.12786657285806285,0.05174470780830509
Maharashtra,0.03528645833333344,-0.19607843137254877,-0.10867697594501713,-0.04711649365628606,0.02705849707409254,-0.0055710306406683285,0.010468575108191089,0.27975553076458237,-0.1398688387234588,0.16185237785765422,0.1771400723069898
Himachal Pradesh,-0.14440104166666656,-0.10784313725490258,0.23152920962199325,0.27468281430219144,0.011701873564268037,-0.02228412256267398,-0.1190369314007434,-0.012515697390843683,0.29710046496928333,-0.16762839472613122,0.1251723875385165
Haryana,0.05247395833333335,0.2450980392156864,-0.12414089347079038,0.018627450980392146,-0.022769741972195168,0.10584958217270202,0.10245994018041948,0.007512039930988701,0.03600741411384234,0.07074784350808672,-0.028956257460823198
Uttarakhand,-0.04283854166666656,0.1274509803921568,0.009879725085910729,0.24492502883506342,0.03836872756394494,0.09470752089136492,-0.009256483735085808,0.2003635834593559,0.17644197051859634,-0.14499218012104775,0.0853231547789895
Karnataka,0.04778645833333339,0.1274509803921568,-0.17568728522336763,0.04354094579008072,0.04299819457811434,0.03621169916434552,-0.008650502618382128,0.2570152163433489,-0.057054182756945404,0.22927190425664806,0.30414217275398
Delhi,-0.1147135416666667,-0.4117647058823529,-0.07774914089347085,-0.06372549019607837,0.01484906813535744,-0.0947075208913648,0.13104195753640718,0.4407749260212149,0.011489318750057653,0.48732566354283324,0.5242356822720906
Odisha,0.1884114583333334,-0.03921568627451022,-0.005584192439862523,0.19302191464821222,0.07369036663411754,0.17548746518105862,-0.04206557471699332,0.5612900182243473,0.21901849052650152,0.08305401223057318,-0.440102386479556
Kerala,-0.15221354166666656,-0.2843137254901964,0.24699312714776633,0.055997693194925036,0.07650738677475774,-0.04178272980501385,-0.061633486290182726,0.27952911620054377,0.22570537688226605,0.36026985723865373,0.4606586607801528
Sikkim,0.3774739583333333,,-0.22207903780068727,0.24284890426758943,0.08073642947965914,0.3537604456824515,-0.3837150783800976,0.4488647473702394,0.21329468850693006,-0.3933023801574371,0.4709640285974816
West Bengal,0.1430989583333333,-0.1862745098039219,-0.2014604810996563,0.17018454440599773,0.08818994162235064,0.08913649025069648,0.06942790068839089,0.4985072672382644,0.19964638922207595,0.21995721295986642,0.35031674447991
